;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
;;Aug 8;Aug 7;Aug 6;Aug 5;Aug 5;Aug 4;Aug 4;Aug 3;Aug 3;Aug 3;Aug 2;Aug 2;Aug 1;Aug 1;Jul 31;Jul 31;Jul 30;Jul 30;Jul 29;Jul 29;Jul 28;Jul 28;Jul 27;Jul 27;Jul 27;Jul 26;Jul 26;Jul 25;Jul 25
asuka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
asurada (hayato);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
asurada (spherion);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
atlas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
atlas-kernelnext (atlas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bob;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
brya (anahera);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (banshee);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
brya (felwinter);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
brya (gimble);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (kano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (primus);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;
brya (redrix);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (taeko);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
brya (taniks);;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;
brya (vell);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (volmar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (anahera);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (felwinter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (gimble);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (kano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (primus);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (redrix);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (taeko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-manatee (gimble);;;;;;;;;;;1;;;;;;1;;;;;1;;;;1;;;;
caroline;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cave;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cherry (dojo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cherry (tomato);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (astronaut);;;;1;;1;;1;;1;;;;;;;1;;;;;1;;1;;1;;;;
coral-kernelnext (babymega);;;;1;;1;;1;;;1;;;;1;;;;1;;;;;1;;1;;;;
coral-kernelnext (babytiger);;;;1;;1;;;;1;1;;;;1;;;;;;;;;;;;;;;
coral-kernelnext (blacktip);;;;1;;1;;1;;;1;;;;;;;;1;;;1;;;;1;;;;
coral-kernelnext (blacktip360);;;;1;;1;;;;1;1;;;;;;;;1;;;;;;;;;;;
coral-kernelnext (blacktiplte);;;;;;1;;1;;1;1;;;;1;;1;;1;;;;;;;1;;1;;
coral-kernelnext (lava);;;;1;;1;;1;;1;1;;;;;;;;;;;;;;;;;;;
coral-kernelnext (nasher);;;;1;;1;;;;1;1;;;;;;;;;;;1;;1;;1;;;;
coral-kernelnext (nasher360);;;;1;;;;1;;;1;;;;1;;1;;;;;;;1;;;;;;
coral-kernelnext (rabbid);;;;1;;1;;1;;1;1;;;;1;;;;1;;;;;;;1;;;;
