;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002
;;Aug 8;Aug 7;Aug 6;Aug 5;Aug 5;Aug 4;Aug 4;Aug 3;Aug 3;Aug 3;Aug 2;Aug 2;Aug 1;Aug 1;Jul 31;Jul 31;Jul 30;Jul 30;Jul 29;Jul 29;Jul 28;Jul 28;Jul 27;Jul 27;Jul 27;Jul 26;Jul 26;Jul 25
asuka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
asurada (hayato);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
asurada (spherion);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
atlas-kernelnext (atlas);;;;1;;;;;;;;;;;1;;;;1;;;;;;;;;;
bob;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (anahera);;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;
brya (banshee);;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
brya (felwinter);;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
brya (gimble);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (kano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (primus);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (redrix);;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;
brya (taeko);;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
brya (taniks);;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;1;
brya (vell);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya (volmar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (anahera);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (felwinter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (gimble);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
brya-kernelnext (kano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brya-kernelnext (primus);;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;
brya-kernelnext (redrix);;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;
brya-kernelnext (taeko);;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;
brya-manatee (gimble);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caroline;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
cave;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cherry (dojo);;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
cherry (tomato);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
coral (epaulette);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (astronaut);;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;
coral-kernelnext (babymega);;;;;;;;;;;;;;;;;1;;;;;1;;;;1;;;
coral-kernelnext (babytiger);;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;
coral-kernelnext (blacktip);;;;;;1;;;;;;;;;;;1;;1;;;;;;;1;;;
coral-kernelnext (blacktip360);;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (blacktiplte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (lava);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (nasher);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (nasher360);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (rabbid);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
coral-kernelnext (robo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (robo360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
coral-kernelnext (santa);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
coral-kernelnext (whitetip);;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;1;
dedede (beadrix);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (beetley);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (blipper);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (bookem);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (boten);;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
dedede (cret360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (drawman);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galith);;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
dedede (galith360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galnat360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galtic360);;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;
dedede (kracko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (kracko360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (landia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magister);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (maglia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (maglith);;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
